name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Champaign, IL",2021-01-01T00:00:00,26.7,14.1,22.9,85.41,0,0,,0,0,,16.9,71,1024.8,0,8.7,0,,0,,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T01:00:00,27.8,16.5,23,82,0,0,,0,0,,14.3,72,1024.5,0,8.6,0,,0,,Clear,clear-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T02:00:00,28,16.6,24.1,85.23,0,0,,0,0,17.2,14.6,73,1024.3,86.3,8.8,0,,0,,Partially cloudy,partly-cloudy-night,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T03:00:00,28.8,16.9,25,85.37,0,0,,0,0,18.3,16.5,62,1022.9,96.1,8.1,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T04:00:00,28.8,16.2,26,89,0,0,,0,0,18.3,18.7,53,1021,100,6.3,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T05:00:00,29,15.5,26.2,89.12,0,0,,0,0,31.7,21.6,43,1017.7,100,6.2,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T06:00:00,30.7,17.5,28.2,90.38,0,0,,0,0,30.9,22.5,62,1016.9,100,4.9,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T07:00:00,31.9,19.3,29.2,89.64,0.05,100,"rain,snow",0,0,35.4,21.8,60,1015.2,100,3.9,5.5,0,0,,"Snow, Rain, Overcast",snow,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T08:00:00,31.9,19.4,30,92.53,0,0,,0,0,35.2,21.7,50,1013.8,100,3.4,1,0,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T09:00:00,32.9,21.2,30.9,92.23,0.18,100,"rain,snow",0,0,34,19.6,39,1013,100,2.8,2,0,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T10:00:00,32.9,21.7,30.9,92.3,0.21,100,"rain,snow",0,0,34.7,18.3,59,1012.5,100,2.2,10,0,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T11:00:00,32.9,21.8,31.9,96,0.04,100,"rain,snow",0,0,31.1,17.9,60,1010.8,100,1.5,54,0.2,1,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T12:00:00,32.9,23.6,32,96.17,0.02,100,"rain,snow",0,0,31.1,12.9,50,1009.3,100,1.3,53,0.2,1,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T13:00:00,33,21.9,32,96.08,0.01,100,"rain,snow",0,0,,17.8,60,1007.6,100,1.8,63,0.2,1,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T14:00:00,33,23,32,96.06,0,0,,0,0,,14.5,59,1007,100,2,43,0.2,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T15:00:00,33,23.8,32,96.23,0,0,,0,0,,12.4,55,1006.5,100,1.9,26,0.1,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T16:00:00,33,24.2,33,99.98,0,0,,0,0,,11.5,64,1006.7,100,1.3,7,0,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
"Champaign, IL",2021-01-01T17:00:00,33,29.2,33,99.98,0.03,100,"rain,snow",0,0,,4,82,1007.5,100,1.5,3,0,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,C2101,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T18:00:00,33,33,33,99.99,0.02,100,"rain,snow",0,0,,2.8,333,1007.4,100,4.7,0,,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T19:00:00,33,27.5,32.1,96.23,0.02,100,"rain,snow",0,0,,6,267,1008.5,100,2.5,0,,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T20:00:00,33,23.9,32.1,96.2,0.01,100,"rain,snow",0,0,25.3,12.4,283,1009.7,100,3.1,0,,0,,"Snow, Rain, Overcast",rain,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T21:00:00,33,26.2,33,99.98,0,0,,0,0,,7.9,286,1011,100,3.3,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T22:00:00,33,24.6,32,96.21,0,0,,0,0,,10.7,277,1012.4,100,3.6,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-01T23:00:00,33,25.5,32,96.21,0,0,,0,0,,9,290,1013.2,100,3.5,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T00:00:00,33,24.6,32,96.21,0,0,,0,0,,10.7,313,1014,100,3.8,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T01:00:00,33,25.7,32,96.21,0,0,,0,0,,8.7,323,1014.7,99.2,4.1,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T02:00:00,33,24.2,32,96.13,0,0,,0,0,,11.6,341,1015.6,100,4.3,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T03:00:00,33,26.8,32,95.95,0,0,,0,0,,6.8,333,1016.9,99.9,4.1,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T04:00:00,33,25.1,31,92.39,0,0,,0,0,,9.6,350,1017.3,100,3.5,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T05:00:00,32.9,26.8,31.9,96.17,0,0,,0,0,,6.8,332,1017.7,100,3.1,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T06:00:00,32.9,28.2,31.9,96.04,0,0,,0,0,,4.9,323,1018.2,100,4.6,0,,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
"Champaign, IL",2021-01-02T07:00:00,31.9,28.1,31.9,99.88,0,0,,0,0,,3.9,305,1018.7,100,2.9,17.8,0.1,0,,Overcast,cloudy,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI"
