Date,LMP,HUB
10/1/2022 12:00:00 AM,60.09,LOUISIANA.HUB
10/1/2022 12:00:00 AM,52.75,MICHIGAN.HUB
10/1/2022 12:00:00 AM,12.27,MINN.HUB
10/1/2022 12:00:00 AM,59.55,MS.HUB
10/1/2022 12:00:00 AM,58.16,TEXAS.HUB
10/1/2022 12:00:00 AM,55.54,ARKANSAS.HUB
10/1/2022 12:00:00 AM,42.16,ILLINOIS.HUB
10/1/2022 12:00:00 AM,53.7,INDIANA.HUB
10/1/2022 1:00:00 AM,31.82,ILLINOIS.HUB
10/1/2022 1:00:00 AM,37.67,INDIANA.HUB
10/1/2022 1:00:00 AM,40.11,LOUISIANA.HUB
10/1/2022 1:00:00 AM,37.18,MICHIGAN.HUB
10/1/2022 1:00:00 AM,10.19,MINN.HUB
10/1/2022 1:00:00 AM,39.69,MS.HUB
10/1/2022 1:00:00 AM,38.92,TEXAS.HUB
10/1/2022 1:00:00 AM,37.43,ARKANSAS.HUB
10/1/2022 2:00:00 AM,38.31,TEXAS.HUB
10/1/2022 2:00:00 AM,39.3,LOUISIANA.HUB
10/1/2022 2:00:00 AM,37.88,MICHIGAN.HUB
10/1/2022 2:00:00 AM,19.15,MINN.HUB
10/1/2022 2:00:00 AM,38.76,MS.HUB
10/1/2022 2:00:00 AM,37.04,ARKANSAS.HUB
10/1/2022 2:00:00 AM,34.43,ILLINOIS.HUB
10/1/2022 2:00:00 AM,38.32,INDIANA.HUB
10/1/2022 3:00:00 AM,40.51,LOUISIANA.HUB
10/1/2022 3:00:00 AM,39.8,TEXAS.HUB
10/1/2022 3:00:00 AM,41.29,MICHIGAN.HUB
10/1/2022 3:00:00 AM,31.16,MINN.HUB
10/1/2022 3:00:00 AM,39.82,MS.HUB
10/1/2022 3:00:00 AM,38.67,ARKANSAS.HUB
10/1/2022 3:00:00 AM,39.85,ILLINOIS.HUB
10/1/2022 3:00:00 AM,41.5,INDIANA.HUB
10/1/2022 4:00:00 AM,44.16,MICHIGAN.HUB
10/1/2022 4:00:00 AM,37.96,MINN.HUB
10/1/2022 4:00:00 AM,42.75,MS.HUB
10/1/2022 4:00:00 AM,41.55,ARKANSAS.HUB
10/1/2022 4:00:00 AM,42.65,TEXAS.HUB
10/1/2022 4:00:00 AM,43.39,LOUISIANA.HUB
10/1/2022 4:00:00 AM,42.98,ILLINOIS.HUB
10/1/2022 4:00:00 AM,44.49,INDIANA.HUB
10/1/2022 5:00:00 AM,45.05,TEXAS.HUB
10/1/2022 5:00:00 AM,45.77,ILLINOIS.HUB
10/1/2022 5:00:00 AM,47.22,INDIANA.HUB
10/1/2022 5:00:00 AM,45.84,LOUISIANA.HUB
10/1/2022 5:00:00 AM,43.94,ARKANSAS.HUB
10/1/2022 5:00:00 AM,46.8,MICHIGAN.HUB
10/1/2022 5:00:00 AM,40.83,MINN.HUB
10/1/2022 5:00:00 AM,45.19,MS.HUB
10/1/2022 6:00:00 AM,50.04,MS.HUB
10/1/2022 6:00:00 AM,49.78,TEXAS.HUB
10/1/2022 6:00:00 AM,48.61,ARKANSAS.HUB
10/1/2022 6:00:00 AM,50.7,LOUISIANA.HUB
10/1/2022 6:00:00 AM,52,MICHIGAN.HUB
10/1/2022 6:00:00 AM,45.89,MINN.HUB
10/1/2022 6:00:00 AM,51.22,ILLINOIS.HUB
10/1/2022 6:00:00 AM,52.61,INDIANA.HUB
10/1/2022 7:00:00 AM,44.48,LOUISIANA.HUB
10/1/2022 7:00:00 AM,45.34,MICHIGAN.HUB
10/1/2022 7:00:00 AM,40.63,MINN.HUB
10/1/2022 7:00:00 AM,43.8,MS.HUB
10/1/2022 7:00:00 AM,43.73,TEXAS.HUB
10/1/2022 7:00:00 AM,42.56,ARKANSAS.HUB
10/1/2022 7:00:00 AM,44.77,ILLINOIS.HUB
10/1/2022 7:00:00 AM,45.94,INDIANA.HUB
10/1/2022 8:00:00 AM,43.49,ILLINOIS.HUB
10/1/2022 8:00:00 AM,44.61,INDIANA.HUB
10/1/2022 8:00:00 AM,43.56,LOUISIANA.HUB
10/1/2022 8:00:00 AM,44,MICHIGAN.HUB
10/1/2022 8:00:00 AM,39.96,MINN.HUB
10/1/2022 8:00:00 AM,42.76,MS.HUB
10/1/2022 8:00:00 AM,43.01,TEXAS.HUB
10/1/2022 8:00:00 AM,41.64,ARKANSAS.HUB
10/1/2022 9:00:00 AM,50.57,MS.HUB
10/1/2022 9:00:00 AM,50.57,TEXAS.HUB
10/1/2022 9:00:00 AM,49.16,ARKANSAS.HUB
10/1/2022 9:00:00 AM,51.36,LOUISIANA.HUB
10/1/2022 9:00:00 AM,52.14,MICHIGAN.HUB
10/1/2022 9:00:00 AM,48.99,MINN.HUB
10/1/2022 9:00:00 AM,51.91,ILLINOIS.HUB
10/1/2022 9:00:00 AM,52.98,INDIANA.HUB
10/1/2022 10:00:00 AM,50.56,LOUISIANA.HUB
10/1/2022 10:00:00 AM,51.39,MICHIGAN.HUB
10/1/2022 10:00:00 AM,48.58,MINN.HUB
10/1/2022 10:00:00 AM,49.9,MS.HUB
10/1/2022 10:00:00 AM,49.68,TEXAS.HUB
10/1/2022 10:00:00 AM,48.39,ARKANSAS.HUB
10/1/2022 10:00:00 AM,51.14,ILLINOIS.HUB
10/1/2022 10:00:00 AM,52.28,INDIANA.HUB
10/1/2022 11:00:00 AM,47.41,ARKANSAS.HUB
10/1/2022 11:00:00 AM,50.03,LOUISIANA.HUB
10/1/2022 11:00:00 AM,49.65,MICHIGAN.HUB
10/1/2022 11:00:00 AM,46.86,MINN.HUB
10/1/2022 11:00:00 AM,48.95,MS.HUB
10/1/2022 11:00:00 AM,49.3,TEXAS.HUB
10/1/2022 11:00:00 AM,49.26,ILLINOIS.HUB
10/1/2022 11:00:00 AM,50.59,INDIANA.HUB
10/1/2022 12:00:00 PM,45.45,ILLINOIS.HUB
10/1/2022 12:00:00 PM,46.82,INDIANA.HUB
10/1/2022 12:00:00 PM,46.86,LOUISIANA.HUB
10/1/2022 12:00:00 PM,46.01,MICHIGAN.HUB
10/1/2022 12:00:00 PM,42.51,MINN.HUB
10/1/2022 12:00:00 PM,45.64,MS.HUB
10/1/2022 12:00:00 PM,46.24,TEXAS.HUB
10/1/2022 12:00:00 PM,44.11,ARKANSAS.HUB
10/1/2022 1:00:00 PM,48.52,LOUISIANA.HUB
10/1/2022 1:00:00 PM,46.73,MICHIGAN.HUB
10/1/2022 1:00:00 PM,42.74,MINN.HUB
10/1/2022 1:00:00 PM,47,MS.HUB
10/1/2022 1:00:00 PM,47.98,TEXAS.HUB
10/1/2022 1:00:00 PM,45.45,ARKANSAS.HUB
10/1/2022 1:00:00 PM,46.35,ILLINOIS.HUB
10/1/2022 1:00:00 PM,47.77,INDIANA.HUB
10/1/2022 2:00:00 PM,52.99,TEXAS.HUB
10/1/2022 2:00:00 PM,50.59,ILLINOIS.HUB
10/1/2022 2:00:00 PM,52.19,INDIANA.HUB
10/1/2022 2:00:00 PM,53.53,LOUISIANA.HUB
10/1/2022 2:00:00 PM,51.01,MICHIGAN.HUB
10/1/2022 2:00:00 PM,46.5,MINN.HUB
10/1/2022 2:00:00 PM,51.76,MS.HUB
10/1/2022 2:00:00 PM,50.02,ARKANSAS.HUB
10/1/2022 3:00:00 PM,54.54,ARKANSAS.HUB
10/1/2022 3:00:00 PM,55.3,ILLINOIS.HUB
10/1/2022 3:00:00 PM,57.18,INDIANA.HUB
10/1/2022 3:00:00 PM,58.12,LOUISIANA.HUB
10/1/2022 3:00:00 PM,55.86,MICHIGAN.HUB
10/1/2022 3:00:00 PM,50.68,MINN.HUB
10/1/2022 3:00:00 PM,56.44,MS.HUB
10/1/2022 3:00:00 PM,57.29,TEXAS.HUB
10/1/2022 4:00:00 PM,49.27,ARKANSAS.HUB
10/1/2022 4:00:00 PM,52.54,LOUISIANA.HUB
10/1/2022 4:00:00 PM,50.18,MICHIGAN.HUB
10/1/2022 4:00:00 PM,45.71,MINN.HUB
10/1/2022 4:00:00 PM,50.98,MS.HUB
10/1/2022 4:00:00 PM,51.63,TEXAS.HUB
10/1/2022 4:00:00 PM,49.65,ILLINOIS.HUB
10/1/2022 4:00:00 PM,51.41,INDIANA.HUB
10/1/2022 5:00:00 PM,54.03,TEXAS.HUB
10/1/2022 5:00:00 PM,52.21,ILLINOIS.HUB
10/1/2022 5:00:00 PM,53.95,INDIANA.HUB
10/1/2022 5:00:00 PM,55.15,LOUISIANA.HUB
10/1/2022 5:00:00 PM,52.63,MICHIGAN.HUB
10/1/2022 5:00:00 PM,48.47,MINN.HUB
10/1/2022 5:00:00 PM,53.5,MS.HUB
10/1/2022 5:00:00 PM,51.77,ARKANSAS.HUB
10/1/2022 6:00:00 PM,55.8,LOUISIANA.HUB
10/1/2022 6:00:00 PM,53.67,ILLINOIS.HUB
10/1/2022 6:00:00 PM,55.42,INDIANA.HUB
10/1/2022 6:00:00 PM,54.08,MICHIGAN.HUB
10/1/2022 6:00:00 PM,49.73,MINN.HUB
10/1/2022 6:00:00 PM,54.42,MS.HUB
10/1/2022 6:00:00 PM,52.68,ARKANSAS.HUB
10/1/2022 6:00:00 PM,54.48,TEXAS.HUB
10/1/2022 7:00:00 PM,48.6,TEXAS.HUB
10/1/2022 7:00:00 PM,48.09,ILLINOIS.HUB
10/1/2022 7:00:00 PM,49.91,INDIANA.HUB
10/1/2022 7:00:00 PM,49.78,LOUISIANA.HUB
10/1/2022 7:00:00 PM,48.76,MICHIGAN.HUB
10/1/2022 7:00:00 PM,43.96,MINN.HUB
10/1/2022 7:00:00 PM,48.63,MS.HUB
10/1/2022 7:00:00 PM,47,ARKANSAS.HUB
10/1/2022 8:00:00 PM,42.01,LOUISIANA.HUB
10/1/2022 8:00:00 PM,39.03,MICHIGAN.HUB
10/1/2022 8:00:00 PM,35.9,MINN.HUB
10/1/2022 8:00:00 PM,40.81,MS.HUB
10/1/2022 8:00:00 PM,39.33,ARKANSAS.HUB
10/1/2022 8:00:00 PM,37.42,ILLINOIS.HUB
10/1/2022 8:00:00 PM,40.19,INDIANA.HUB
10/1/2022 8:00:00 PM,41.17,TEXAS.HUB
10/1/2022 9:00:00 PM,41.11,MS.HUB
10/1/2022 9:00:00 PM,41.17,TEXAS.HUB
10/1/2022 9:00:00 PM,35.99,ILLINOIS.HUB
10/1/2022 9:00:00 PM,39.71,INDIANA.HUB
10/1/2022 9:00:00 PM,42.18,LOUISIANA.HUB
10/1/2022 9:00:00 PM,38.68,MICHIGAN.HUB
10/1/2022 9:00:00 PM,33.26,MINN.HUB
10/1/2022 9:00:00 PM,39.34,ARKANSAS.HUB
10/1/2022 10:00:00 PM,38.45,ARKANSAS.HUB
10/1/2022 10:00:00 PM,40.37,TEXAS.HUB
10/1/2022 10:00:00 PM,21.08,ILLINOIS.HUB
10/1/2022 10:00:00 PM,32.31,INDIANA.HUB
10/1/2022 10:00:00 PM,42.23,LOUISIANA.HUB
10/1/2022 10:00:00 PM,30.31,MICHIGAN.HUB
10/1/2022 10:00:00 PM,20.92,MINN.HUB
10/1/2022 10:00:00 PM,42.11,MS.HUB
10/2/2022 12:00:00 AM,24.8,TEXAS.HUB
10/2/2022 12:00:00 AM,23.79,ARKANSAS.HUB
10/2/2022 12:00:00 AM,15.97,ILLINOIS.HUB
10/2/2022 12:00:00 AM,20.74,INDIANA.HUB
10/2/2022 12:00:00 AM,25.51,LOUISIANA.HUB
10/2/2022 12:00:00 AM,19.76,MICHIGAN.HUB
10/2/2022 12:00:00 AM,13.07,MINN.HUB
10/2/2022 12:00:00 AM,25.25,MS.HUB
10/2/2022 1:00:00 AM,31.53,ARKANSAS.HUB
10/2/2022 1:00:00 AM,25.02,ILLINOIS.HUB
10/2/2022 1:00:00 AM,29.93,INDIANA.HUB
10/2/2022 1:00:00 AM,33.6,LOUISIANA.HUB
10/2/2022 1:00:00 AM,28.89,MICHIGAN.HUB
10/2/2022 1:00:00 AM,23.03,MINN.HUB
10/2/2022 1:00:00 AM,33.14,MS.HUB
10/2/2022 1:00:00 AM,32.86,TEXAS.HUB
