Date,Load
10/1/2022 12:00:00 AM,59380
10/1/2022 1:00:00 AM,56833
10/1/2022 2:00:00 AM,57252
10/1/2022 3:00:00 AM,56916
10/1/2022 4:00:00 AM,56696
10/1/2022 5:00:00 AM,57236
10/1/2022 6:00:00 AM,57435
10/1/2022 7:00:00 AM,58586
10/1/2022 8:00:00 AM,59663
10/1/2022 9:00:00 AM,62267
10/1/2022 10:00:00 AM,62488
10/1/2022 11:00:00 AM,63080
10/1/2022 12:00:00 PM,63393
10/1/2022 1:00:00 PM,63536
10/1/2022 2:00:00 PM,63862
10/1/2022 3:00:00 PM,64396
10/1/2022 4:00:00 PM,65158
10/1/2022 5:00:00 PM,66114
10/1/2022 6:00:00 PM,67043
10/1/2022 7:00:00 PM,67413
10/1/2022 8:00:00 PM,67147
10/1/2022 9:00:00 PM,65509
10/1/2022 10:00:00 PM,63052
10/1/2022 11:00:00 PM,60090
10/2/2022 12:00:00 AM,57188
10/2/2022 1:00:00 AM,55123
10/2/2022 2:00:00 AM,54587
10/2/2022 3:00:00 AM,55188
10/2/2022 4:00:00 AM,54803
10/2/2022 5:00:00 AM,55000
10/2/2022 6:00:00 AM,54731
10/2/2022 7:00:00 AM,55085
10/2/2022 8:00:00 AM,56321
10/2/2022 9:00:00 AM,59185
10/2/2022 10:00:00 AM,60083
10/2/2022 11:00:00 AM,61395
10/2/2022 12:00:00 PM,62558
10/2/2022 1:00:00 PM,63538
10/2/2022 2:00:00 PM,64482
10/2/2022 3:00:00 PM,65584
10/2/2022 4:00:00 PM,66870
10/2/2022 5:00:00 PM,68186
10/2/2022 6:00:00 PM,69344
10/2/2022 7:00:00 PM,69621
10/2/2022 8:00:00 PM,69428
10/2/2022 9:00:00 PM,67338
10/2/2022 10:00:00 PM,64274
10/2/2022 11:00:00 PM,60897
10/3/2022 12:00:00 AM,57871
10/3/2022 1:00:00 AM,56541
10/3/2022 2:00:00 AM,56988
10/3/2022 3:00:00 AM,56709
10/3/2022 4:00:00 AM,57127
10/3/2022 5:00:00 AM,58481
10/3/2022 6:00:00 AM,60725
10/3/2022 7:00:00 AM,65415
10/3/2022 8:00:00 AM,67582
10/3/2022 9:00:00 AM,69005
10/3/2022 10:00:00 AM,70029
10/3/2022 11:00:00 AM,70733
10/3/2022 12:00:00 PM,71494
10/3/2022 1:00:00 PM,72298
10/3/2022 2:00:00 PM,73215
10/3/2022 3:00:00 PM,73811
10/3/2022 4:00:00 PM,74315
10/3/2022 5:00:00 PM,74918
10/3/2022 6:00:00 PM,75351
10/3/2022 7:00:00 PM,75240
10/3/2022 8:00:00 PM,74468
10/3/2022 9:00:00 PM,71938
10/3/2022 10:00:00 PM,68289
10/3/2022 11:00:00 PM,64305
10/4/2022 12:00:00 AM,60838
