Year,Month,Day,Day of Week,Hour of Day,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,Price.ARKANSAS.HUB,Price.INDIANA.HUB,Price.LOUISIANA.HUB,Price.MICHIGAN.HUB,Price.MINN.HUB,Price.MS.HUB,Price.TEXAS.HUB,Price.Day-Ahead,Forecast_load,Price.ILLINOIS.HUB
2021,1,1,4,0,26.7,14.1,22.9,85.41,0.0,0.0,,0.0,0.0,,16.9,71.0,1024.8,0.0,8.7,0.0,,0.0,,,,,,,,,18.82,69525.0,
2021,1,1,4,1,27.8,16.5,23.0,82.0,0.0,0.0,,0.0,0.0,,14.3,72.0,1024.5,0.0,8.6,0.0,,0.0,,,,,,,,,18.9,66890.0,
2021,1,1,4,2,28.0,16.6,24.1,85.23,0.0,0.0,,0.0,0.0,17.2,14.6,73.0,1024.3,86.3,8.8,0.0,,0.0,,,,,,,,,18.73,64993.0,
2021,1,1,4,3,28.8,16.9,25.0,85.37,0.0,0.0,,0.0,0.0,18.3,16.5,62.0,1022.9,96.1,8.1,0.0,,0.0,,,,,,,,,19.02,63753.0,
2021,1,1,4,4,28.8,16.2,26.0,89.0,0.0,0.0,,0.0,0.0,18.3,18.7,53.0,1021.0,100.0,6.3,0.0,,0.0,,,,,,,,,19.11,62889.0,
2021,1,1,4,5,29.0,15.5,26.2,89.12,0.0,0.0,,0.0,0.0,31.7,21.6,43.0,1017.7,100.0,6.2,0.0,,0.0,,,,,,,,,18.38,62394.0,
2021,1,1,4,6,30.7,17.5,28.2,90.38,0.0,0.0,,0.0,0.0,30.9,22.5,62.0,1016.9,100.0,4.9,0.0,,0.0,,,,,,,,,20.36,62377.0,
2021,1,1,4,7,31.9,19.3,29.2,89.64,0.05,100.0,"rain,snow",0.0,0.0,35.4,21.8,60.0,1015.2,100.0,3.9,5.5,0.0,0.0,,,,,,,,,20.84,63115.0,
2021,1,1,4,8,31.9,19.4,30.0,92.53,0.0,0.0,,0.0,0.0,35.2,21.7,50.0,1013.8,100.0,3.4,1.0,0.0,0.0,,,,,,,,,20.83,64502.0,
2021,1,1,4,9,32.9,21.2,30.9,92.23,0.18,100.0,"rain,snow",0.0,0.0,34.0,19.6,39.0,1013.0,100.0,2.8,2.0,0.0,0.0,,,,,,,,,21.68,66118.0,
2021,1,1,4,10,32.9,21.7,30.9,92.3,0.21,100.0,"rain,snow",0.0,0.0,34.7,18.3,59.0,1012.5,100.0,2.2,10.0,0.0,0.0,,,,,,,,,22.23,68027.0,
2021,1,1,4,11,32.9,21.8,31.9,96.0,0.04,100.0,"rain,snow",0.0,0.0,31.1,17.9,60.0,1010.8,100.0,1.5,54.0,0.2,1.0,,,,,,,,,22.32,69499.0,
2021,1,1,4,12,32.9,23.6,32.0,96.17,0.02,100.0,"rain,snow",0.0,0.0,31.1,12.9,50.0,1009.3,100.0,1.3,53.0,0.2,1.0,,,,,,,,,21.87,70079.0,
