,airmass_relative,airmass_absolute,ghi,dni,dhi,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,sunrise,sunset,transit
2022-10-01 00:00:00+05:00,1.4535297179312778,1.326609713309373,688.385977686435,845.1390551939529,107.66800358788021,46.59687559237148,46.61310669544015,43.40312440762852,43.38689330455985,207.04794515205379,10.101700862614962,2022-10-01 16:48:52.994046+05:00,2022-10-01 04:36:53.732598+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 01:00:00+05:00,1.671994747828105,1.5259987090101517,579.5088376576002,806.9691357795142,97.74555216350097,53.344420756933005,53.36502027750159,36.655579243066995,36.63497972249841,224.5708914833004,10.115255683580472,2022-10-01 16:48:52.995659+05:00,2022-10-01 04:36:53.737348+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 02:00:00+05:00,2.147987373160872,1.9604283821294548,420.41980787538,729.6684997862512,81.8872492222713,62.357457652025076,62.386614843165475,27.64254234797492,27.61338515683453,238.73755431583675,10.128802903709584,2022-10-01 16:48:52.997284+05:00,2022-10-01 04:36:53.742077+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 03:00:00+05:00,3.3324651217499155,3.041479334918667,226.91566231883453,567.940629643426,58.143404540537915,72.71257516235482,72.76100648570396,17.28742483764518,17.238993514296038,250.45833064454177,10.142342501480016,2022-10-01 16:48:52.998926+05:00,2022-10-01 04:36:53.746778+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 04:00:00+05:00,8.537439106359484,7.791962906271494,39.17070866288863,188.8432106639294,18.617536920251908,83.75170874212897,83.87686647797253,6.248291257871037,6.123133522027474,260.734108460913,10.155874455369485,2022-10-01 16:48:53.000578+05:00,2022-10-01 04:36:53.751446+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 05:00:00+05:00,,,0.0,0.0,0.0,95.31623444100947,95.31623444100947,-5.316234441009471,-5.316234441009471,270.4244493099558,10.169398743302736,2022-10-01 16:48:53.002258+05:00,2022-10-02 04:35:16.025684+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 06:00:00+05:00,,,0.0,0.0,0.0,106.73941983571017,106.73941983571017,-16.73941983571017,-16.73941983571017,280.3180645948107,10.182915343670174,2022-10-01 16:48:53.003960+05:00,2022-10-02 04:35:16.025680+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 07:00:00+05:00,,,0.0,0.0,0.0,117.783243909828,117.783243909828,-27.783243909827995,-27.783243909827995,291.2834106356198,10.196424234796723,2022-10-01 16:48:53.005682+05:00,2022-10-02 04:35:15.926042+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 08:00:00+05:00,,,0.0,0.0,0.0,127.94095151778833,127.94095151778833,-37.94095151778833,-37.94095151778833,304.43916385406953,10.209925394476159,2022-10-01 16:48:53.007422+05:00,2022-10-02 04:35:15.930562+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 09:00:00+05:00,,,0.0,0.0,0.0,136.39052609519825,136.39052609519825,-46.39052609519824,-46.39052609519824,321.20761740100113,10.223418800982472,2022-10-01 16:48:53.009168+05:00,2022-10-02 04:35:15.935060+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 10:00:00+05:00,,,0.0,0.0,0.0,141.84324769872043,141.84324769872043,-51.843247698720425,-51.843247698720425,342.6366226122911,10.236904432458687,2022-10-01 16:48:53.010934+05:00,2022-10-02 04:35:15.939542+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 11:00:00+05:00,,,0.0,0.0,0.0,142.8839946819145,142.8839946819145,-52.88399468191447,-52.88399468191447,7.229009337045682,10.250382266684028,2022-10-01 16:48:53.012702+05:00,2022-10-02 04:35:15.944020+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 12:00:00+05:00,,,0.0,0.0,0.0,139.16463148074158,139.16463148074158,-49.16463148074157,-49.16463148074157,30.416980106042786,10.263852281685104,2022-10-01 16:48:53.014472+05:00,2022-10-02 04:35:15.948501+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 13:00:00+05:00,,,0.0,0.0,0.0,131.80893620254542,131.80893620254542,-41.80893620254543,-41.80893620254543,49.124779616271724,10.277314455568558,2022-10-01 16:48:53.016227+05:00,2022-10-02 04:35:15.952994+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 14:00:00+05:00,,,0.0,0.0,0.0,122.25795531103093,122.25795531103093,-32.257955311030926,-32.257955311030926,63.63935903263882,10.290768765902612,2022-10-01 16:48:53.017979+05:00,2022-10-02 04:35:15.957507+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 15:00:00+05:00,,,0.0,0.0,0.0,111.52552145821767,111.52552145821767,-21.52552145821767,-21.52552145821767,75.38997870426931,10.30421519059746,2022-10-01 16:48:53.019716+05:00,2022-10-02 04:35:15.962047+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 16:00:00+05:00,,,0.0,0.0,0.0,100.22913995988175,100.22913995988175,-10.229139959881744,-10.229139959881744,85.63813896836137,10.317653707665158,2022-10-01 16:48:53.021434+05:00,2022-10-02 04:35:15.966618+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 17:00:00+05:00,22.217540488056674,20.277538638321648,1.3335748798293163,10.45336972478281,1.0538694848202361,88.4667287197716,88.7772910490888,1.5332712802284094,1.2227089509111932,95.33926069853572,10.331084294448374,2022-10-02 16:49:52.292507+05:00,2022-10-02 04:35:15.971222+05:00,2022-10-01 22:42:23.761415+05:00
2022-10-01 18:00:00+05:00,4.51196711024515,4.117989003418942,139.99958633446775,442.5246039209853,43.78797255313252,77.44273442325466,77.50928049676938,12.557265576745332,12.490719503230615,105.29573396175988,10.344506928842748,2022-10-02 16:49:52.294191+05:00,2022-10-02 04:35:15.975861+05:00,2022-10-01 22:42:23.761415+05:00
